Position	SRR8423807_1	SRR8423851_2	SRR8423868_2	SRR8423870_2	SRR8423819_1	SRR8423825_1	SRR8423798_1	SRR8423868_1	SRR8423831_2	SRR8423809_2	SRR8423911_2	SRR8423808_1	SRR8423809_1	SRR8423814_2	SRR8423847_1	SRR8423851_1	SRR8423828_1	SRR8423870_1	SRR8423850_2	SRR8423841_1	SRR8423852_2	SRR8423849_1	SRR8423829_2	SRR8423844_2	SRR8423855_1	SRR8423812_1	SRR8423818_1	SRR8423827_1	SRR8423847_2	SRR8423852_1	SRR8423813_2	SRR8423833_2	SRR8423818_2	SRR8423825_2	SRR8423849_2	SRR8423856_1	SRR8423820_1	SRR8423848_1	SRR8423811_2	SRR8423842_1	SRR8423807_2	SRR8423808_2	SRR8423864_2	SRR8423823_2	SRR8423839_2	SRR8423833_1	SRR8423840_1	SRR8423816_2	SRR8423844_1	SRR8423829_1	SRR8423817_1	SRR8423810_1	SRR8423835_2	SRR8423917_2	SRR8423846_1	SRR8423846_2	SRR8423845_2	SRR8423823_1	SRR8423913_2	SRR8423816_1	SRR8423848_2	SRR8423811_1	SRR8423819_2	SRR8423864_1	SRR8423913_1	SRR8423912_1	SRR8423828_2	SRR8423800_2	SRR8423804_1	SRR8423845_1	SRR8423839_1	SRR8423810_2	SRR8423859_2	SRR8423799_1	SRR8423836_2	SRR8423912_2	SRR8423831_1	SRR8423916_2	SRR8423812_2	SRR8423813_1	SRR8423799_2	SRR8423869_1	SRR8423855_2	SRR8423911_1	SRR8423817_2	SRR8423835_1	SRR8423916_1	SRR8423830_1	SRR8423917_1	SRR8423843_1	SRR8423854_2	SRR8423814_1	SRR8423830_2	SRR8423843_2	SRR8423854_1	SRR8423850_1	SRR8423800_1	SRR8423820_2	SRR8423801_1	SRR8423869_2	SRR8423804_2	SRR8423859_1	SRR8423798_2	SRR8423856_2	SRR8423840_2	SRR8423827_2	SRR8423841_2	SRR8423836_1	SRR8423801_2	SRR8423842_2
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26143560635935E-5	1.8213205024179707E-4	0.0	1.6772247967622854E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1120746620238291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4661193614342994E-4	0.0	0.0	0.0	0.0	0.0	1.1137088262807017E-4	1.5492355623272552E-4	0.0	0.0	9.248486485186699E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0067384359311659E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.995568095259892E-5	0.0	1.5223705832767158E-4	0.0	1.6115116301393032E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1405929030028389E-4	0.0	0.0
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2186099482051777E-4	2.540262806004012E-4	0.0	2.411010645345785E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6310428376349492E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724846307569764E-4	0.0	0.0	0.0	0.0	0.0	1.8817838788880823E-4	1.7123129899406504E-4	0.0	0.0	1.0789900899384482E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.342317914574888E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0583021288541048E-4	0.0	2.1748151189667368E-4	0.0	2.3822345836841874E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782176410941936E-4	0.0	0.0
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2186099482051777E-4	2.540262806004012E-4	0.0	2.411010645345785E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6310428376349492E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724846307569764E-4	0.0	0.0	0.0	0.0	0.0	1.8817838788880823E-4	1.7123129899406504E-4	0.0	0.0	1.0789900899384482E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.342317914574888E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0583021288541048E-4	0.0	2.1748151189667368E-4	0.0	2.3822345836841874E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782176410941936E-4	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2186099482051777E-4	2.540262806004012E-4	0.0	2.411010645345785E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6310428376349492E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724846307569764E-4	0.0	0.0	0.0	0.0	0.0	1.8817838788880823E-4	1.7123129899406504E-4	0.0	0.0	1.0789900899384482E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.716116098666434E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.342317914574888E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0583021288541048E-4	0.0	2.1748151189667368E-4	0.0	2.3822345836841874E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.207081069546805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782176410941936E-4	0.0	0.0
